section,metric,value
input,scores_path,C:\Users\cedru\Documents\0egyetem\Onlab\ml_visualizer\backend\TimeDRL\embedding_detectors\Exchange_clean_vs_injected_knn.scores.npz
input,labels_path,C:\Users\cedru\Documents\0egyetem\Onlab\ml_visualizer\backend\TimeDRL\eval_sets\Exchange_injected_test_labels.npz
instance_level,n_total,1494
instance_level,n_normal,1013
instance_level,n_anomaly,481
instance_level,score_mean,3.3497352600097656
instance_level,score_std,0.7965207099914551
instance_level,score_min,1.4984023571014404
instance_level,score_max,6.60015869140625
instance_level,normal_score_mean,3.3715786933898926
instance_level,anomaly_score_mean,3.303731679916382
instance_level,auroc,0.47691035252733177
instance_level,auprc,0.3118812660857254
instance_level,fpr_at_95_tpr,0.9555774925962488
instance_level,threshold_metrics.threshold,3.0994160175323486
instance_level,threshold_metrics.accuracy,0.4424364123159304
instance_level,threshold_metrics.precision,0.3078602620087336
instance_level,threshold_metrics.recall,0.5862785862785863
instance_level,threshold_metrics.f1,0.4037222619899785
instance_level,threshold_metrics.specificity,0.3741362290227048
instance_level,threshold_metrics.confusion_matrix.tp,282
instance_level,threshold_metrics.confusion_matrix.fp,634
instance_level,threshold_metrics.confusion_matrix.tn,379
instance_level,threshold_metrics.confusion_matrix.fn,199
instance_level,best_f1_threshold_metrics.threshold,1.4984023571014404
instance_level,best_f1_threshold_metrics.accuracy,0.321285140562249
instance_level,best_f1_threshold_metrics.precision,0.3215003348961822
instance_level,best_f1_threshold_metrics.recall,0.997920997920998
instance_level,best_f1_threshold_metrics.f1,0.48632218844984804
instance_level,best_f1_threshold_metrics.specificity,0.0
instance_level,best_f1_threshold_metrics.confusion_matrix.tp,480
instance_level,best_f1_threshold_metrics.confusion_matrix.fp,1013
instance_level,best_f1_threshold_metrics.confusion_matrix.tn,0
instance_level,best_f1_threshold_metrics.confusion_matrix.fn,1
instance_level,precision_at_10,0.3
instance_level,precision_at_50,0.28
instance_level,precision_at_100,0.32
instance_level,by_ood_group.near_ood.n_total,1494
instance_level,by_ood_group.near_ood.n_normal,1013
instance_level,by_ood_group.near_ood.n_anomaly,481
instance_level,by_ood_group.near_ood.score_mean,3.3497352600097656
instance_level,by_ood_group.near_ood.score_std,0.7965207099914551
instance_level,by_ood_group.near_ood.score_min,1.4984023571014404
instance_level,by_ood_group.near_ood.score_max,6.60015869140625
instance_level,by_ood_group.near_ood.normal_score_mean,3.3715786933898926
instance_level,by_ood_group.near_ood.anomaly_score_mean,3.303731679916382
instance_level,by_ood_group.near_ood.auroc,0.47691035252733177
instance_level,by_ood_group.near_ood.auprc,0.3118812660857254
instance_level,by_ood_group.near_ood.fpr_at_95_tpr,0.9555774925962488
instance_level,by_ood_group.near_ood.threshold_metrics.threshold,3.0994160175323486
instance_level,by_ood_group.near_ood.threshold_metrics.accuracy,0.4424364123159304
instance_level,by_ood_group.near_ood.threshold_metrics.precision,0.3078602620087336
instance_level,by_ood_group.near_ood.threshold_metrics.recall,0.5862785862785863
instance_level,by_ood_group.near_ood.threshold_metrics.f1,0.4037222619899785
instance_level,by_ood_group.near_ood.threshold_metrics.specificity,0.3741362290227048
instance_level,by_ood_group.near_ood.threshold_metrics.confusion_matrix.tp,282
instance_level,by_ood_group.near_ood.threshold_metrics.confusion_matrix.fp,634
instance_level,by_ood_group.near_ood.threshold_metrics.confusion_matrix.tn,379
instance_level,by_ood_group.near_ood.threshold_metrics.confusion_matrix.fn,199
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.threshold,1.4984023571014404
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.accuracy,0.321285140562249
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.precision,0.3215003348961822
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.recall,0.997920997920998
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.f1,0.48632218844984804
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.specificity,0.0
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.confusion_matrix.tp,480
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.confusion_matrix.fp,1013
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.confusion_matrix.tn,0
instance_level,by_ood_group.near_ood.best_f1_threshold_metrics.confusion_matrix.fn,1
instance_level,by_ood_group.near_ood.precision_at_10,0.3
instance_level,by_ood_group.near_ood.precision_at_50,0.28
instance_level,by_ood_group.near_ood.precision_at_100,0.32
timestamp_level,n_total,131472
timestamp_level,n_normal,130257
timestamp_level,n_anomaly,1215
timestamp_level,score_mean,2.187239170074463
timestamp_level,score_std,0.8695707321166992
timestamp_level,score_min,0.33856257796287537
timestamp_level,score_max,6.968453407287598
timestamp_level,normal_score_mean,2.187281847000122
timestamp_level,anomaly_score_mean,2.1826698780059814
timestamp_level,auroc,0.4996518184326389
timestamp_level,auprc,0.009732226248752371
timestamp_level,fpr_at_95_tpr,0.9061931412515258
timestamp_level,threshold_metrics.threshold,3.6186697483062744
timestamp_level,threshold_metrics.accuracy,0.917876049653158
timestamp_level,threshold_metrics.precision,0.0077065351418002465
timestamp_level,threshold_metrics.recall,0.06172839506172839
timestamp_level,threshold_metrics.f1,0.013702384214853383
timestamp_level,threshold_metrics.specificity,0.9258619498376287
timestamp_level,threshold_metrics.confusion_matrix.tp,75
timestamp_level,threshold_metrics.confusion_matrix.fp,9657
timestamp_level,threshold_metrics.confusion_matrix.tn,120600
timestamp_level,threshold_metrics.confusion_matrix.fn,1140
timestamp_level,best_f1_threshold_metrics.threshold,4.579112693055035
timestamp_level,best_f1_threshold_metrics.accuracy,0.9776986734818061
timestamp_level,best_f1_threshold_metrics.precision,0.021193530395984383
timestamp_level,best_f1_threshold_metrics.recall,0.031275720164609055
timestamp_level,best_f1_threshold_metrics.f1,0.02526595744680851
timestamp_level,best_f1_threshold_metrics.specificity,0.9865266358046016
timestamp_level,best_f1_threshold_metrics.confusion_matrix.tp,38
timestamp_level,best_f1_threshold_metrics.confusion_matrix.fp,1755
timestamp_level,best_f1_threshold_metrics.confusion_matrix.tn,128502
timestamp_level,best_f1_threshold_metrics.confusion_matrix.fn,1177
timestamp_level,precision_at_10,0.0
timestamp_level,precision_at_50,0.04
timestamp_level,precision_at_100,0.04
timestamp_level,by_ood_group.near_ood.n_total,131472
