rank,row_index,sample_index,score,y_true,group_label
1,1200,1200,6.60015869140625,1,1
2,1201,1201,6.484560966491699,1,1
3,643,643,5.957751274108887,0,0
4,1202,1202,5.913447856903076,1,1
5,691,691,5.710197925567627,0,0
6,644,644,5.697739601135254,0,0
7,642,642,5.693276405334473,0,0
8,387,387,5.687856197357178,0,0
9,645,645,5.62687349319458,0,0
10,388,388,5.6174421310424805,0,0
11,657,657,5.6135993003845215,0,0
12,641,641,5.571345806121826,0,0
13,764,764,5.5657057762146,1,1
14,1199,1199,5.47561502456665,1,1
15,646,646,5.448272705078125,0,0
16,640,640,5.422359466552734,0,0
17,615,615,5.415675163269043,0,0
18,392,392,5.410175323486328,0,0
19,656,656,5.367692947387695,0,0
20,480,480,5.3562140464782715,0,0
21,648,648,5.299284934997559,0,0
22,647,647,5.292340278625488,0,0
23,141,141,5.24674129486084,0,0
24,1478,1478,5.193045616149902,0,0
25,614,614,5.183504104614258,0,0
26,649,649,5.142840385437012,0,0
27,941,941,5.131101131439209,1,1
28,481,481,5.127415657043457,0,0
29,1348,1348,5.090361595153809,1,1
30,142,142,5.083927154541016,0,0
31,658,658,5.079850196838379,0,0
32,925,925,5.0746684074401855,1,1
33,1077,1077,5.058695316314697,0,0
34,384,384,5.0574774742126465,0,0
35,139,139,5.041126251220703,0,0
36,1226,1226,5.0405473709106445,1,1
37,386,386,5.029327869415283,0,0
38,659,659,5.011680603027344,0,0
39,1074,1074,4.996098518371582,0,0
40,1075,1075,4.984034061431885,0,0
41,1349,1349,4.979946613311768,1,1
42,1203,1203,4.9740095138549805,1,1
43,926,926,4.9715576171875,1,1
44,1076,1076,4.957582473754883,0,0
45,378,378,4.938902378082275,0,0
46,176,176,4.936905384063721,0,0
47,655,655,4.921137809753418,0,0
48,484,484,4.916173458099365,0,0
49,1351,1351,4.893667697906494,1,1
50,1327,1327,4.888296604156494,1,1
