rank,row_index,sample_index,score,y_true,group_label
1,61953,704,6.968453407287598,0,0
2,59137,672,6.767262935638428,0,0
3,36922,419,6.76093053817749,0,0
4,36834,418,6.72158670425415,0,0
5,59752,679,6.697021484375,0,0
6,124906,1419,6.684411525726318,0,0
7,54177,615,6.65743350982666,0,0
8,8449,96,6.618707180023193,0,0
9,104456,1187,6.592816352844238,0,0
10,124994,1420,6.591817378997803,0,0
11,32780,372,6.586822509765625,0,0
12,68596,779,6.559950351715088,0,0
13,38241,434,6.554774284362793,0,0
14,60720,690,6.515539646148682,0,0
15,54089,614,6.496351718902588,0,0
16,30319,344,6.455197334289551,0,0
17,55581,631,6.421875953674316,0,0
18,31638,359,6.409969329833984,0,0
19,32868,373,6.3800249099731445,0,0
20,104368,1186,6.374731540679932,0,0
21,104280,1185,6.367517948150635,0,0
22,31726,360,6.361204147338867,0,0
23,60456,687,6.3586812019348145,0,0
24,60017,682,6.347611427307129,0,0
25,38329,435,6.31008243560791,0,0
26,29527,335,6.276237964630127,0,0
27,43085,489,6.254218101501465,0,0
28,32692,371,6.236912250518799,0,0
29,67189,763,6.22489070892334,0,0
30,9856,112,6.204916954040527,0,0
31,32877,373,6.162301540374756,0,0
32,94963,1079,6.148338317871094,0,0
33,35515,403,6.135162353515625,0,0
34,2784,31,6.117957592010498,0,0
35,61249,696,6.1177659034729,0,0
36,123144,1399,6.113736629486084,0,0
37,104544,1188,6.1115946769714355,0,0
38,117932,1340,6.110311031341553,1,1
39,55933,635,6.109894752502441,0,0
40,66837,759,6.102169036865234,0,0
41,125082,1421,6.10202693939209,0,0
42,30495,346,6.097782135009766,0,0
43,54265,616,6.09515380859375,0,0
44,124818,1418,6.0767388343811035,0,0
45,116965,1329,6.075871467590332,1,1
46,8537,97,6.074339866638184,0,0
47,61073,694,6.0614423751831055,0,0
48,62041,705,6.059362888336182,0,0
49,54618,620,6.057131767272949,0,0
50,103928,1181,6.047329902648926,0,0
