rank,row_index,sample_index,score,label
1,1200,1200,6.60015869140625,1
2,1201,1201,6.484560966491699,1
3,643,643,5.957751274108887,0
4,1202,1202,5.913447856903076,1
5,691,691,5.710197925567627,0
6,644,644,5.697739601135254,0
7,642,642,5.693276405334473,0
8,387,387,5.687856197357178,0
9,645,645,5.62687349319458,0
10,388,388,5.6174421310424805,0
11,657,657,5.6135993003845215,0
12,641,641,5.571345806121826,0
13,764,764,5.5657057762146,1
14,1199,1199,5.47561502456665,1
15,646,646,5.448272705078125,0
16,640,640,5.422359466552734,0
17,615,615,5.415675163269043,0
18,392,392,5.410175323486328,0
19,656,656,5.367692947387695,0
20,480,480,5.3562140464782715,0
21,648,648,5.299284934997559,0
22,647,647,5.292340278625488,0
23,141,141,5.24674129486084,0
24,1478,1478,5.193045616149902,0
25,614,614,5.183504104614258,0
26,649,649,5.142840385437012,0
27,941,941,5.131101131439209,1
28,481,481,5.127415657043457,0
29,1348,1348,5.090361595153809,1
30,142,142,5.083927154541016,0
31,658,658,5.079850196838379,0
32,925,925,5.0746684074401855,1
33,1077,1077,5.058695316314697,0
34,384,384,5.0574774742126465,0
35,139,139,5.041126251220703,0
36,1226,1226,5.0405473709106445,1
37,386,386,5.029327869415283,0
38,659,659,5.011680603027344,0
39,1074,1074,4.996098518371582,0
40,1075,1075,4.984034061431885,0
41,1349,1349,4.979946613311768,1
42,1203,1203,4.9740095138549805,1
43,926,926,4.9715576171875,1
44,1076,1076,4.957582473754883,0
45,378,378,4.938902378082275,0
46,176,176,4.936905384063721,0
47,655,655,4.921137809753418,0
48,484,484,4.916173458099365,0
49,1351,1351,4.893667697906494,1
50,1327,1327,4.888296604156494,1
51,1194,1194,4.850967884063721,1
52,477,477,4.820738792419434,0
53,1479,1479,4.813429832458496,0
54,1111,1111,4.8101301193237305,0
55,366,366,4.796156883239746,0
56,173,173,4.793591499328613,0
57,382,382,4.782952785491943,0
58,1196,1196,4.78075647354126,1
59,374,374,4.773341178894043,0
60,1197,1197,4.769886016845703,1
61,1350,1350,4.747544288635254,1
62,377,377,4.745354175567627,0
63,143,143,4.742544174194336,0
64,687,687,4.736763000488281,0
65,1195,1195,4.723759651184082,1
66,383,383,4.719719886779785,0
67,1212,1212,4.719229698181152,1
68,1328,1328,4.7187886238098145,1
69,140,140,4.7166314125061035,0
70,675,675,4.7165303230285645,0
71,1192,1192,4.708887577056885,1
72,174,174,4.708002090454102,0
73,942,942,4.703833103179932,1
74,1205,1205,4.697802543640137,1
75,112,112,4.694844722747803,0
76,652,652,4.6904473304748535,0
77,482,482,4.688729286193848,0
78,1402,1402,4.68747615814209,0
79,773,773,4.679479598999023,1
80,1198,1198,4.677342891693115,1
81,775,775,4.674726963043213,1
82,1227,1227,4.673637390136719,1
83,134,134,4.669378757476807,0
84,1204,1204,4.668581485748291,1
85,639,639,4.667186737060547,0
86,375,375,4.664095401763916,0
87,1210,1210,4.661925315856934,1
88,136,136,4.659022331237793,0
89,1211,1211,4.64357852935791,1
90,1304,1304,4.631491661071777,1
91,676,676,4.625235080718994,0
92,479,479,4.619926452636719,0
93,208,208,4.614683628082275,0
94,1467,1467,4.611276626586914,0
95,175,175,4.604442596435547,0
96,133,133,4.600560188293457,0
97,1396,1396,4.596460819244385,0
98,370,370,4.593414306640625,0
99,650,650,4.5754241943359375,0
100,1401,1401,4.568056106567383,0
